train/entropy_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,time/time_elapsed,train/value_loss,train/clip_fraction,time/iterations,rollout/ep_rew_mean,train/loss,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/approx_kl,time/fps
-1.1515352670103312,0.2,114688,-0.005712758298614062,59,627.8336939811707,0.012451171875,112,-64.15314437999999,323.41845703125,0.025458931922912598,444,0.0003,112.02,0.005131789,1912
-1.10440219566226,0.2,118784,-0.0015193590297712944,62,598.5943913459778,0.00048828125,116,-56.95510435,260.94781494140625,0.1559167504310608,460,0.0003,116.1,0.0012201671,1910
-1.1124529354274273,0.2,122880,-0.001378085813485086,64,479.35378074645996,0.0,120,-50.83535662000001,216.6725616455078,0.19469624757766724,476,0.0003,129.32,0.00092212146,1908
-1.13270971365273,0.2,126976,-0.002030658084549941,66,290.7818292379379,0.000244140625,124,-39.757369100000005,143.19435119628906,0.5240130126476288,492,0.0003,142.5,0.0016264089,1903
-1.0707740783691406,0.2,131072,-0.0027325517730787396,68,491.2274217605591,0.000732421875,128,-34.77758945,278.0723876953125,0.254300594329834,508,0.0003,154.29,0.0021316833,1900
-1.1698848232626915,0.2,135168,-0.007912366825621575,71,261.76130199432373,0.0390625,132,-24.838741929999998,71.58911895751953,0.5909664928913116,524,0.0003,152.33,0.006903819,1900
-1.0562963224947453,0.2,139264,-0.0008074490760918707,73,343.79127502441406,0.0,136,-28.241956699999996,189.14906311035156,0.4382615089416504,540,0.0003,155.85,0.00062364864,1895
-1.0849367193877697,0.2,143360,-0.0027921633518417366,75,484.7988681793213,0.023193359375,140,-26.94180665,229.10208129882812,0.3668348789215088,556,0.0003,145.0,0.0053900443,1895
-1.063567591831088,0.2,147456,-0.0001787492146831937,77,588.4455938339233,0.0,144,-29.213937920000003,173.3480987548828,0.2735753655433655,572,0.0003,153.39,0.0004568852,1892
-1.1508152354508638,0.2,151552,-0.0016664301365381107,80,234.58030676841736,0.000244140625,148,-32.16922524,101.76516723632812,0.266946017742157,588,0.0003,175.82,0.0020117792,1893
-0.9397571021690965,0.2,155648,-0.007890685825259425,82,96.6992878317833,0.0849609375,152,-33.85084173,68.29117584228516,0.6226267218589783,604,0.0003,196.32,0.007511353,1893
-1.1127302143722773,0.2,159744,-0.0029956932849017903,84,595.0400609970093,0.01904296875,156,-37.1625633,227.2711181640625,0.3266139626502991,620,0.0003,197.89,0.0055858605,1895
-0.953390134498477,0.2,163840,-0.00013098878844175488,86,381.3274097442627,0.0,160,-36.993583290000004,170.626708984375,0.38775330781936646,636,0.0003,211.71,0.00023988308,1895
-0.8501598704606295,0.2,167936,-0.0038170065090525895,88,204.92642772197723,0.01025390625,164,-33.93455468,76.29039001464844,0.3770342469215393,652,0.0003,226.51,0.0053957896,1896
-1.1633901111781597,0.2,172032,-0.008077968057477847,90,58.38243010640144,0.028564453125,168,-36.67826040999999,26.450773239135742,0.5159181654453278,668,0.0003,212.59,0.0052936217,1896
-1.0559639818966389,0.2,176128,-0.0032950463355518878,92,667.4612188339233,0.01123046875,172,-30.321081020000005,215.68783569335938,0.3078731894493103,684,0.0003,203.57,0.004946551,1897
-1.0437117759138346,0.2,180224,-0.003646813056548126,94,593.704580783844,0.009521484375,176,-27.869604369999998,402.5190734863281,0.45092594623565674,700,0.0003,213.76,0.003543384,1897
-0.8290450060740113,0.2,184320,-0.003733009049028624,97,820.5916018486023,0.027587890625,180,-27.702145249999997,291.16412353515625,0.16366463899612427,716,0.0003,213.44,0.005518451,1898
-1.0665788985788822,0.2,188416,-0.0025567408738425,99,341.1822032928467,0.01318359375,184,-27.24173246,70.48390197753906,0.4577414393424988,732,0.0003,228.14,0.0039874306,1899
-0.98496722150594,0.2,192512,-0.0031482593767577782,101,483.55968713760376,0.010009765625,188,-24.49880484,247.01434326171875,0.5010384321212769,748,0.0003,226.55,0.0033776534,1900
-1.1157665830105543,0.2,196608,-0.004017449973616749,103,147.60379874706268,0.035888671875,192,-21.94174072,67.11186981201172,0.35834455490112305,764,0.0003,239.56,0.00567873,1900
-0.9839608082547784,0.2,200704,-0.0010121235536644235,105,1118.5076332092285,0.000244140625,196,-26.05891665,636.674072265625,0.44377565383911133,780,0.0003,258.83,0.0012937158,1901
-0.9395195217803121,0.2,204800,-0.0030968160863267258,107,981.6132369041443,0.022216796875,200,-34.20383878,686.646728515625,0.14319169521331787,796,0.0003,251.15,0.00736636,1902
-1.1065659765154123,0.2,208896,-0.006887875446409453,109,276.3596205711365,0.0380859375,204,-37.37097638,135.73379516601562,0.6396788358688354,812,0.0003,262.19,0.008670275,1902
-1.1520104091614485,0.2,212992,-0.0027940493673668243,111,261.33215713500977,0.02197265625,208,-37.235642999999996,101.42537689208984,0.18262112140655518,828,0.0003,283.11,0.0050164526,1903
